"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Total Cites,Journal Impact Factor,Eigenfactor Score
7698,PSYCHIATRIC GENETICS,PSYCHIAT GENET,920,1.375,0.001180
7698,Research in Human Development,RES HUM DEV,621,1.375,0.000870
7698,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCAND J PSYCHOL,"2,737",1.375,0.002940
7706,Health Economics Review,HEALTH ECON REV,450,1.374,0.001540
7707,Canadian Journal of Infectious Diseases & Medical Microbiology,CAN J INFECT DIS MED,"1,034",1.373,0.001740
7707,History of the Family,HIST FAM,403,1.373,0.000630
7707,IEEE INDUSTRY APPLICATIONS MAGAZINE,IEEE IND APPL MAG,943,1.373,0.000950
7707,JOURNAL OF AEROSPACE ENGINEERING,J AEROSPACE ENG,"1,547",1.373,0.002370
7707,JOURNAL OF EDUCATION FOR TEACHING,J EDUC TEACHING,763,1.373,0.000900
7712,Biodemography and Social Biology,BIODEMOGR SOC BIOL,217,1.372,0.000960
7712,Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,410,1.372,0.000280
7712,Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,410,1.372,0.000280
7712,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,J PROF ISS ENG ED PR,690,1.372,0.000380
7712,SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,205,1.372,0.000700
7717,Jornal Brasileiro de Pneumologia,J BRAS PNEUMOL,"1,606",1.371,0.001530
7717,MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,"1,231",1.371,0.001300
7719,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,AUST J AGR RESOUR EC,"1,036",1.370,0.001050
7719,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,AUST J AGR RESOUR EC,"1,036",1.370,0.001050
7719,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INT J SOC PSYCHIATR,"2,067",1.370,0.002970
7719,Journal of Sulfur Chemistry,J SULFUR CHEM,761,1.370,0.000790
7723,Annals of Transplantation,ANN TRANSPL,"1,067",1.369,0.002230
7723,Journal of Zhejiang University-SCIENCE A,J ZHEJIANG UNIV-SC A,"1,752",1.369,0.001900
7725,ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,"1,426",1.368,0.003740
7725,BULLETIN OF THE ATOMIC SCIENTISTS,B ATOM SCI,598,1.368,0.001170
7725,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,S AFR J CHEM-S-AFR T,356,1.368,0.000280
7728,INDOOR AND BUILT ENVIRONMENT,INDOOR BUILT ENVIRON,"1,483",1.367,0.001670
7728,ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,ISOT ENVIRON HEALT S,870,1.367,0.001270
7728,MODERN PHYSICS LETTERS A,MOD PHYS LETT A,"4,257",1.367,0.005500
7728,Mind Culture and Activity,MIND CULT ACT,732,1.367,0.000620
7728,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,"7,002",1.367,0.003570
7728,Rehabilitation Nursing,REHABIL NURS,759,1.367,0.001000
7728,Rehabilitation Nursing,REHABIL NURS,759,1.367,0.001000
7728,VITIS,VITIS,"1,222",1.367,0.000580
7728,i-Perception,I-PERCEPTION,634,1.367,0.001890
7737,Environmental Hazards-Human and Policy Dimensions,ENVIRON HAZARDS-UK,774,1.366,0.000470
7737,Journal of Instrumentation,J INSTRUM,"7,369",1.366,0.020750
7737,PALAEONTOLOGIA ELECTRONICA,PALAEONTOL ELECTRON,"2,753",1.366,0.001850
7737,PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,P GEOLOGIST ASSOC,"1,510",1.366,0.001390
7737,SIGMOD RECORD,SIGMOD REC,"1,935",1.366,0.001060
7742,Journal of Contingencies and Crisis Management,J CONTING CRISIS MAN,988,1.365,0.000660
7743,BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,"2,540",1.364,0.002360
7743,International Journal of Heritage Studies,INT J HERIT STUD,"1,135",1.364,0.000820
7743,Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,PALAEONTOGR ABT B,705,1.364,0.000120
7743,THERAPIE,THERAPIE,726,1.364,0.000920
7743,WORLDS POULTRY SCIENCE JOURNAL,WORLD POULTRY SCI J,"2,355",1.364,0.001580
7748,Foot and Ankle Surgery,FOOT ANKLE SURG,"1,122",1.363,0.001980
7748,JOURNAL OF INVASIVE CARDIOLOGY,J INVASIVE CARDIOL,"1,896",1.363,0.002880
7748,PRIMATES,PRIMATES,"2,032",1.363,0.001240
7751,ADAPTIVE BEHAVIOR,ADAPT BEHAV,654,1.362,0.000580
7751,ADAPTIVE BEHAVIOR,ADAPT BEHAV,654,1.362,0.000580
7751,Biopreservation and Biobanking,BIOPRESERV BIOBANK,678,1.362,0.002280
7751,JOURNAL OF GENDER STUDIES,J GENDER STUD,667,1.362,0.000880
7751,PERSONNEL REVIEW,PERS REV,"2,024",1.362,0.001420
7751,Paediatrics and International Child Health,PAEDIATR INT CHILD H,479,1.362,0.001390
7757,CRYPTOGAMIE ALGOLOGIE,CRYPTOGAMIE ALGOL,477,1.361,0.000540
7757,JOURNAL OF BRYOLOGY,J BRYOL,938,1.361,0.000700
7757,JOURNAL OF PERINATAL MEDICINE,J PERINAT MED,"2,581",1.361,0.002990
7757,MODERN LAW REVIEW,MOD LAW REV,"1,318",1.361,0.000800
7757,ReCALL,RECALL,633,1.361,0.000720
7762,Clinical Child Psychology and Psychiatry,CLIN CHILD PSYCHOL P,"1,060",1.360,0.001160
7762,Clinical Child Psychology and Psychiatry,CLIN CHILD PSYCHOL P,"1,060",1.360,0.001160
7762,JOURNAL OF FOOD QUALITY,J FOOD QUALITY,"1,525",1.360,0.001480
7762,Journal of Advanced Prosthodontics,J ADV PROSTHODONT,837,1.360,0.001750
7762,PAKISTAN VETERINARY JOURNAL,PAK VET J,"1,123",1.360,0.001270
7767,NanoEthics,NANOETHICS,289,1.359,0.000340
7767,NanoEthics,NANOETHICS,289,1.359,0.000340
7767,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,P I MECH ENG C-J MEC,"4,331",1.359,0.005260
7767,Social Psychology,SOC PSYCHOL-GERMANY,701,1.359,0.002990
7771,ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,"2,691",1.358,0.002490
7771,JOURNAL OF FOOD BIOCHEMISTRY,J FOOD BIOCHEM,"1,868",1.358,0.001400
7771,Journal of the American Academy of Audiology,J AM ACAD AUDIOL,"2,238",1.358,0.002250
7774,Gesture,GESTURE,422,1.357,0.000340
7774,Journal of Arid Land,J ARID LAND,728,1.357,0.001620
7774,POLITICA Y GOBIERNO,POLIT GOB,97,1.357,0.000300
7774,QUANTITATIVE FINANCE,QUANT FINANC,"2,478",1.357,0.004690
7774,QUANTITATIVE FINANCE,QUANT FINANC,"2,478",1.357,0.004690
7779,ACM Transactions on Computing Education,ACM T COMPUT EDUC,326,1.356,0.000550
7779,CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,"1,254",1.356,0.000830
7779,GEORGE WASHINGTON LAW REVIEW,GEORGE WASH LAW REV,932,1.356,0.001580
7779,JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,J RENIN-ANGIO-ALDO S,891,1.356,0.001300
7779,MATHEMATISCHE ANNALEN,MATH ANN,"8,401",1.356,0.018340
7784,ADVANCES IN CEMENT RESEARCH,ADV CEM RES,"1,099",1.355,0.001060
7784,AMERICAN JOURNAL OF NURSING,AM J NURS,"1,838",1.355,0.001580
7784,AMERICAN JOURNAL OF NURSING,AM J NURS,"1,838",1.355,0.001580
7784,Advances in Skin & Wound Care,ADV SKIN WOUND CARE,"1,193",1.355,0.001150
7784,Advances in Skin & Wound Care,ADV SKIN WOUND CARE,"1,193",1.355,0.001150
7784,JOURNAL OF MATHEMATICAL PHYSICS,J MATH PHYS,"17,203",1.355,0.020740
7784,Marine Ecology-An Evolutionary Perspective,MAR ECOL-EVOL PERSP,"2,364",1.355,0.002730
7791,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,"1,695",1.354,0.001580
7791,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,"1,695",1.354,0.001580
7791,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,J ENG MATER-T ASME,"3,162",1.354,0.000920
7791,KOREA-AUSTRALIA RHEOLOGY JOURNAL,KOREA-AUST RHEOL J,539,1.354,0.000590
7791,SEPARATION SCIENCE AND TECHNOLOGY,SEP SCI TECHNOL,"7,003",1.354,0.004830
7796,INFANT BEHAVIOR & DEVELOPMENT,INFANT BEHAV DEV,"3,542",1.353,0.003380
7796,International Journal of Spray and Combustion Dynamics,INT J SPRAY COMBUST,220,1.353,0.000410
7796,NEW GENETICS AND SOCIETY,NEW GENET SOC,380,1.353,0.000490
7796,NEW GENETICS AND SOCIETY,NEW GENET SOC,380,1.353,0.000490
7796,NEW IDEAS IN PSYCHOLOGY,NEW IDEAS PSYCHOL,750,1.353,0.001500
7796,Optical Switching and Networking,OPT SWITCH NETW,452,1.353,0.000710
7796,SCHOOL PSYCHOLOGY REVIEW,SCHOOL PSYCHOL REV,"2,308",1.353,0.001440
7803,COMMUNIST AND POST-COMMUNIST STUDIES,COMMUNIS POST-COMMUN,679,1.351,0.000840
7803,ELT Journal,ELT J,"1,608",1.351,0.000760
7803,ENVIRONMETRICS,ENVIRONMETRICS,"1,782",1.351,0.002660
7803,Emu-Austral Ornithology,EMU,"1,072",1.351,0.001100
7803,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,J ELECTROMAGNET WAVE,"2,073",1.351,0.002570
7803,JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,J INT MED RES,"3,557",1.351,0.003690
7803,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,J VAC SCI TECHNOL B,"8,092",1.351,0.005750
7803,NEUROIMMUNOMODULATION,NEUROIMMUNOMODULAT,"1,409",1.351,0.001330
7803,SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,"2,604",1.351,0.002000
7812,EUROPE-ASIA STUDIES,EUROPE-ASIA STUD,"1,421",1.350,0.001910
7812,Educational Measurement-Issues and Practice,EDUC MEAS-ISSUES PRA,834,1.350,0.001300
7812,JOURNAL OF PUBLIC HEALTH DENTISTRY,J PUBLIC HEALTH DENT,"1,560",1.350,0.001350
7812,POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,POLICING,"1,192",1.350,0.001240
7816,American Journal of Health Economics,AM J HEALTH ECON,129,1.349,0.001350
7816,European Journal of International Management,EUR J INT MANAG,386,1.349,0.000420
7816,International Journal of Agricultural and Biological Engineering,INT J AGR BIOL ENG,"1,099",1.349,0.001350
7819,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,EUR J IND RELAT,630,1.347,0.000770
7819,Eating Disorders,EAT DISORD,963,1.347,0.000990
7819,Eating Disorders,EAT DISORD,963,1.347,0.000990
7819,International Journal of Antennas and Propagation,INT J ANTENN PROPAG,"2,081",1.347,0.004650
7819,JOURNAL OF AGING STUDIES,J AGING STUD,"1,837",1.347,0.002000
7819,Studies in Informatics and Control,STUD INFORM CONTROL,352,1.347,0.000310
7819,THEORY INTO PRACTICE,THEOR PRACT,"3,028",1.347,0.001520
7826,Atencion Primaria,ATEN PRIM,"1,201",1.346,0.000910
7826,Intelligent Service Robotics,INTEL SERV ROBOT,248,1.346,0.000360
7826,Race and Social Problems,RACE SOC PROBL,317,1.346,0.001020
7829,CONFLICT MANAGEMENT AND PEACE SCIENCE,CONFLICT MANAG PEACE,982,1.345,0.002770
7829,Fossil Record,FOSS REC,271,1.345,0.000270
7829,JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,"1,756",1.345,0.001570
7829,NEW ZEALAND VETERINARY JOURNAL,NEW ZEAL VET J,"1,675",1.345,0.001590
7829,STATISTICAL PAPERS,STAT PAP,"1,033",1.345,0.002250
7829,SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,SURG LAPARO ENDO PER,"2,576",1.345,0.003410
7835,ACTA GEOLOGICA POLONICA,ACTA GEOL POL,895,1.344,0.000630
7835,BMC BIOCHEMISTRY,BMC BIOCHEM,843,1.344,0.000580
7835,Computational and Theoretical Chemistry,COMPUT THEOR CHEM,"3,363",1.344,0.006390
7835,DEVELOPMENTAL NEUROPSYCHOLOGY,DEV NEUROPSYCHOL,"3,256",1.344,0.001860
7835,DEVELOPMENTAL NEUROPSYCHOLOGY,DEV NEUROPSYCHOL,"3,256",1.344,0.001860
7835,FOUNDATIONS OF PHYSICS,FOUND PHYS,"2,148",1.344,0.001790
7835,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,J R STAT SOC C-APPL,"4,008",1.344,0.003670
7835,Journal of Applied Remote Sensing,J APPL REMOTE SENS,"2,521",1.344,0.004610
7835,Regenerative Therapy,REGEN THER,123,1.344,0.000400
7844,APPLIED RADIATION AND ISOTOPES,APPL RADIAT ISOTOPES,"7,993",1.343,0.008390
7844,BEHAVIORAL DISORDERS,BEHAV DISORDERS,677,1.343,0.000520
7844,ELECTRONICS LETTERS,ELECTRON LETT,"19,870",1.343,0.021820
7844,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,J BEHAV HEALTH SER R,"1,113",1.343,0.002050
7844,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,J BEHAV HEALTH SER R,"1,113",1.343,0.002050
7844,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,J ELECTRON SPECTROSC,"5,512",1.343,0.004390
7844,JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,J THERMOPLAST COMPOS,"1,496",1.343,0.001360
7844,Vocations and Learning,VOCAT LEARN,308,1.343,0.000320
7852,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,B AM MATH SOC,"4,864",1.342,0.002370
7852,PHYCOLOGICAL RESEARCH,PHYCOL RES,795,1.342,0.000790
7852,PS-POLITICAL SCIENCE & POLITICS,PS-POLIT SCI POLIT,"2,412",1.342,0.003480
7852,STOCHASTIC PROCESSES AND THEIR APPLICATIONS,STOCH PROC APPL,"5,066",1.342,0.014020
7856,International Journal of Educational Research,INT J EDUC RES,"1,960",1.341,0.002040
7856,WILDLIFE BIOLOGY,WILDLIFE BIOL,"1,428",1.341,0.001590
7858,American Journal of Audiology,AM J AUDIOL,817,1.340,0.001580
7858,BOTHALIA,BOTHALIA,446,1.340,0.000260
7858,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,"3,461",1.340,0.002460
7858,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,PACE,"5,550",1.340,0.005670
7858,WELDING JOURNAL,WELD J,"3,316",1.340,0.001160
7863,Nutrition & Dietetics,NUTR DIET,833,1.339,0.000940
7863,RADIOCHIMICA ACTA,RADIOCHIM ACTA,"2,703",1.339,0.001600
7865,CULTURE & PSYCHOLOGY,CULT PSYCHOL,896,1.338,0.000790
7865,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,J OCCUP ENVIRON HYG,"1,806",1.338,0.003020
7865,Journal of Dual Diagnosis,J DUAL DIAGN,407,1.338,0.000880
7865,Phytochemistry Letters,PHYTOCHEM LETT,"2,246",1.338,0.004520
7865,Victims & Offenders,VICTIMS OFFENDERS,513,1.338,0.000770
7870,Journal of Integrative Agriculture,J INTEGR AGR,"2,444",1.337,0.005780
7870,PLANT SOIL AND ENVIRONMENT,PLANT SOIL ENVIRON,"2,001",1.337,0.001820
7870,Psychological Services,PSYCHOL SERV,"1,028",1.337,0.002600
7870,ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,Z ANORG ALLG CHEM,"8,309",1.337,0.004840
7874,CRYOGENICS,CRYOGENICS,"2,760",1.336,0.002520
7874,HUMAN ECOLOGY,HUM ECOL,"2,880",1.336,0.002350
7874,Journal of Advanced Concrete Technology,J ADV CONCR TECHNOL,"1,443",1.336,0.001010
7874,OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,"2,012",1.336,0.003680
7878,JOURNAL OF MOLECULAR MODELING,J MOL MODEL,"5,643",1.335,0.007670
7878,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,J BRAZIL CHEM SOC,"5,671",1.335,0.004580
7880,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,SIAM J MATH ANAL,"6,078",1.334,0.015100
7881,CELLS TISSUES ORGANS,CELLS TISSUES ORGANS,"2,157",1.333,0.001440
7881,GEODINAMICA ACTA,GEODIN ACTA,813,1.333,0.000340
7881,Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,340,1.333,0.000470
7881,Health Promotion Journal of Australia,HEALTH PROMOT J AUST,795,1.333,0.001140
7881,Higher Education Policy,HIGH EDUC POLICY,809,1.333,0.000540
7881,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,J COMMUNITY APPL SOC,"1,487",1.333,0.001450
7881,Journal of Economic Inequality,J ECON INEQUAL,846,1.333,0.001610
7881,Politics and Governance,POLITICS GOV,311,1.333,0.000980
7881,Psychiatry Investigation,PSYCHIAT INVEST,"1,182",1.333,0.002220
7881,Psychiatry Investigation,PSYCHIAT INVEST,"1,182",1.333,0.002220
7881,TURKISH JOURNAL OF EARTH SCIENCES,TURK J EARTH SCI,927,1.333,0.000980
7892,EUROPEAN PHYSICAL JOURNAL D,EUR PHYS J D,"4,946",1.331,0.007280
7892,Molecular Cytogenetics,MOL CYTOGENET,802,1.331,0.002250
7892,Orthopaedic Surgery,ORTHOP SURG,606,1.331,0.001370
7895,Crop & Pasture Science,CROP PASTURE SCI,"1,793",1.330,0.003040
7895,JOURNAL OF AGRICULTURAL SCIENCE,J AGR SCI-CAMBRIDGE,"4,779",1.330,0.002510
7895,JOURNAL OF INSECT CONSERVATION,J INSECT CONSERV,"2,117",1.330,0.003120
7895,Natural Computing,NAT COMPUT,778,1.330,0.001130
7899,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,ANAT REC,"4,839",1.329,0.005630
7899,FACIAL PLASTIC SURGERY,FACIAL PLAST SURG,"1,124",1.329,0.001440
7899,JOURNAL OF PRAGMATICS,J PRAGMATICS,"5,762",1.329,0.006290
7899,SEED SCIENCE RESEARCH,SEED SCI RES,"1,606",1.329,0.001030
7903,PHOTONIC NETWORK COMMUNICATIONS,PHOTONIC NETW COMMUN,519,1.328,0.000850
7903,SIAM Journal on Financial Mathematics,SIAM J FINANC MATH,494,1.328,0.002640
7903,SIAM Journal on Financial Mathematics,SIAM J FINANC MATH,494,1.328,0.002640
7906,APPLIED NURSING RESEARCH,APPL NURS RES,"1,771",1.327,0.002310
7906,APPLIED NURSING RESEARCH,APPL NURS RES,"1,771",1.327,0.002310
7906,CHILDS NERVOUS SYSTEM,CHILD NERV SYST,"5,817",1.327,0.006110
7906,Focus on Autism and Other Developmental Disabilities,FOCUS AUTISM DEV DIS,701,1.327,0.001160
7906,JOURNAL OF RADIOLOGICAL PROTECTION,J RADIOL PROT,"1,142",1.327,0.001870
7906,LABOUR ECONOMICS,LABOUR ECON,"2,675",1.327,0.006690
7906,MICROSCOPY RESEARCH AND TECHNIQUE,MICROSC RES TECHNIQ,"4,726",1.327,0.002790
7906,SPE DRILLING & COMPLETION,SPE DRILL COMPLETION,980,1.327,0.000620
7906,Tropical Conservation Science,TROP CONSERV SCI,778,1.327,0.001650
7915,DISTRIBUTED COMPUTING,DISTRIB COMPUT,696,1.326,0.000740
7915,Economic Systems,ECON SYST,796,1.326,0.000840
7915,PEDIATRIC TRANSPLANTATION,PEDIATR TRANSPLANT,"3,080",1.326,0.004390
7918,Families Systems & Health,FAM SYST HEALTH,976,1.325,0.001400
7918,Families Systems & Health,FAM SYST HEALTH,976,1.325,0.001400
7918,IEEE TRANSACTIONS ON PLASMA SCIENCE,IEEE T PLASMA SCI,"9,924",1.325,0.010830
7918,International Journal of Performance Analysis in Sport,INT J PERF ANAL SPOR,"1,272",1.325,0.001470
7922,CROSS-CULTURAL RESEARCH,CROSS-CULT RES,740,1.324,0.000590
7922,Demographic Research,DEMOGR RES,"2,340",1.324,0.005290
7922,PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,PROF PSYCHOL-RES PR,"3,478",1.324,0.001810
7925,COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,"8,301",1.323,0.017220
7925,JOURNAL OF RESEARCH IN READING,J RES READ,"1,071",1.323,0.001230
7925,JOURNAL OF SOCIAL ARCHAEOLOGY,J SOC ARCHAEOL,341,1.323,0.000440
7928,ACM Transactions on Storage,ACM T STORAGE,465,1.322,0.001030
7928,Journal of Laparoendoscopic & Advanced Surgical Techniques,J LAPAROENDOSC ADV S,"2,814",1.322,0.005080
7928,MEDICAL HYPOTHESES,MED HYPOTHESES,"6,856",1.322,0.006520
7928,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,REV INST MED TROP SP,"1,954",1.322,0.002380
7932,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,"2,271",1.321,0.002470
7932,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,"2,271",1.321,0.002470
7932,EUROPEAN HEART JOURNAL SUPPLEMENTS,EUR HEART J SUPPL,434,1.321,0.000540
7932,Nursing & Health Sciences,NURS HEALTH SCI,"1,750",1.321,0.002630
7932,Nursing & Health Sciences,NURS HEALTH SCI,"1,750",1.321,0.002630
7937,ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,"1,792",1.320,0.002950
7938,ANNALS OF HUMAN GENETICS,ANN HUM GENET,"1,897",1.319,0.001390
7938,INDUSTRIAL HEALTH,IND HEALTH,"1,977",1.319,0.001730
7938,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,573,1.319,0.000440
7938,SURFACE AND INTERFACE ANALYSIS,SURF INTERFACE ANAL,"7,537",1.319,0.004300
7942,CHINESE JOURNAL OF ORGANIC CHEMISTRY,CHINESE J ORG CHEM,"2,375",1.318,0.002540
7942,European Annals of Otorhinolaryngology-Head and Neck Diseases,EUR ANN OTORHINOLARY,760,1.318,0.001470
7942,Hematology,HEMATOLOGY,"1,161",1.318,0.001470
7942,Journal of Postgraduate Medicine,J POSTGRAD MED,"1,305",1.318,0.000880
7942,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,T AM MATH SOC,"15,286",1.318,0.030110
7947,ACTA PETROLOGICA SINICA,ACTA PETROL SIN,"8,708",1.317,0.007230
7947,ENVIRONMENTAL ARCHAEOLOGY,ENVIRON ARCHAEOL,481,1.317,0.001060
7947,GEOINFORMATICA,GEOINFORMATICA,742,1.317,0.001230
7947,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,INT J CRASHWORTHINES,"1,009",1.317,0.000920
7947,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,P I MECH ENG H,"2,395",1.317,0.002640
7952,AI MAGAZINE,AI MAG,"1,419",1.316,0.001190
7952,AMERICAN JOURNAL OF EDUCATION,AM J EDUC,"1,156",1.316,0.001290
7952,GEOGRAPHY,GEOGRAPHY,511,1.316,0.000340
7952,SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SAMJ S AFR MED J,"4,072",1.316,0.005020
7952,Scandinavian Journal of Occupational Therapy,SCAND J OCCUP THER,903,1.316,0.001080
7952,Scandinavian Journal of Occupational Therapy,SCAND J OCCUP THER,903,1.316,0.001080
7958,Botany,BOTANY,"1,623",1.315,0.002700
7958,INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,"3,518",1.315,0.005070
7958,INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,"3,518",1.315,0.005070
7958,Journal of Eye Movement Research,J EYE MOVEMENT RES,375,1.315,0.000840
7962,Development Policy Review,DEV POLICY REV,"1,396",1.314,0.001920
7962,International Journal of Occupational Medicine and Environmental Health,INT J OCCUP MED ENV,"1,295",1.314,0.002040
7962,International Transactions on Electrical Energy Systems,INT T ELECTR ENERGY,"1,219",1.314,0.002380
7965,ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,"1,633",1.313,0.001600
7965,JOURNAL OF MOTOR BEHAVIOR,J MOTOR BEHAV,"2,432",1.313,0.001820
7965,JOURNAL OF MOTOR BEHAVIOR,J MOTOR BEHAV,"2,432",1.313,0.001820
7965,Mathematical Biosciences and Engineering,MATH BIOSCI ENG,"1,104",1.313,0.002050
7965,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,606,1.313,0.001230
7965,Revista Iberoamericana de Automatica e Informatica Industrial,REV IBEROAM AUTOM IN,292,1.313,0.000290
7965,SALAMANDRA,SALAMANDRA,382,1.313,0.000640
7972,GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSH FRAUENHEILK,841,1.312,0.001600
7973,ADVANCES IN NURSING SCIENCE,ADV NURS SCI,"1,358",1.311,0.000720
7973,ADVANCES IN NURSING SCIENCE,ADV NURS SCI,"1,358",1.311,0.000720
7973,AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,AUST J PUBL ADMIN,916,1.311,0.000640
7973,CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,"11,201",1.311,0.003880
7973,Journal of Cosmetic Dermatology,J COSMET DERMATOL-US,"1,187",1.311,0.001440
7973,Psychiatria Polska,PSYCHIATR POL,756,1.311,0.000850
7979,Homicide Studies,HOMICIDE STUD,696,1.310,0.000620
7979,Journal of Higher Education Policy and Management,J HIGH EDUC POLICY M,940,1.310,0.000770
7981,GENERAL PHYSIOLOGY AND BIOPHYSICS,GEN PHYSIOL BIOPHYS,896,1.309,0.000830
7981,International Journal of Biostatistics,INT J BIOSTAT,517,1.309,0.001550
7981,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,J ASSOC NURSE AIDS C,"1,209",1.309,0.002070
7981,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,J ASSOC NURSE AIDS C,"1,209",1.309,0.002070
7985,ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,"1,144",1.308,0.000770
7985,Communications in Applied Mathematics and Computational Science,COMM APP MATH COM SC,361,1.308,0.000260
7985,JOURNAL OF SPORT & SOCIAL ISSUES,J SPORT SOC ISSUES,"1,011",1.308,0.000930
7985,SOCIOLOGICAL QUARTERLY,SOCIOL QUART,"2,193",1.308,0.001570
7989,Journal of Topology,J TOPOL,505,1.307,0.005770
7989,SIGNS,SIGNS,"3,336",1.307,0.002960
7991,ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,ALTERN THER HEALTH M,"1,052",1.306,0.000850
7991,AVIAN DISEASES,AVIAN DIS,"4,405",1.306,0.002520
